 time            V_out           V_in            V_c2           
 2.66280000e-07  4.77129450e-01  1.57670799e-01  4.77290789e+00 
 2.67280000e-07  4.79513253e-01  1.58276948e-01  4.77529198e+00 
 2.68280000e-07  4.81897260e-01  1.58883071e-01  4.77767627e+00 
 2.69280000e-07  4.84281467e-01  1.59489168e-01  4.78006076e+00 
 2.70280000e-07  4.86665869e-01  1.60095239e-01  4.78244545e+00 
 2.71280000e-07  4.89050462e-01  1.60701284e-01  4.78483033e+00 
 2.72280000e-07  4.91435242e-01  1.61307301e-01  4.78721540e+00 
 2.73280000e-07  4.93820205e-01  1.61913289e-01  4.78960065e+00 
 2.74280000e-07  4.96205347e-01  1.62519249e-01  4.79198608e+00 
 2.75280000e-07  4.98590663e-01  1.63125178e-01  4.79437169e+00 
 2.76280000e-07  5.00976150e-01  1.63731077e-01  4.79675746e+00 
 2.77280000e-07  5.03361804e-01  1.64336943e-01  4.79914340e+00 
 2.78280000e-07  5.05747619e-01  1.64942775e-01  4.80152951e+00 
 2.79280000e-07  5.08133592e-01  1.65548572e-01  4.80391577e+00 
 2.80280000e-07  5.10519718e-01  1.66154334e-01  4.80630218e+00 
 2.81280000e-07  5.12905993e-01  1.66760057e-01  4.80868875e+00 
 2.82280000e-07  5.15292413e-01  1.67365742e-01  4.81107546e+00 
 2.83280000e-07  5.17678972e-01  1.67971386e-01  4.81346231e+00 
 2.84280000e-07  5.20065668e-01  1.68576988e-01  4.81584930e+00 
 2.85280000e-07  5.22452494e-01  1.69182547e-01  4.81823641e+00 
 2.86280000e-07  5.24839446e-01  1.69788060e-01  4.82062366e+00 
 2.87280000e-07  5.27226520e-01  1.70393527e-01  4.82301102e+00 
 2.88280000e-07  5.29613711e-01  1.70998945e-01  4.82539850e+00 
 2.89280000e-07  5.32001013e-01  1.71604314e-01  4.82778610e+00 
 2.90280000e-07  5.34388423e-01  1.72209631e-01  4.83017380e+00 
 2.91280000e-07  5.36775934e-01  1.72814895e-01  4.83256160e+00 
 2.92280000e-07  5.39163542e-01  1.73420104e-01  4.83494950e+00 
 2.93280000e-07  5.41551242e-01  1.74025258e-01  4.83733750e+00 
 2.94280000e-07  5.43939029e-01  1.74630353e-01  4.83972558e+00 
 2.95280000e-07  5.46326897e-01  1.75235389e-01  4.84211374e+00 
 2.96280000e-07  5.48714841e-01  1.75840363e-01  4.84450197e+00 
 2.97280000e-07  5.51102856e-01  1.76445276e-01  4.84689028e+00 
 2.98280000e-07  5.53490936e-01  1.77050124e-01  4.84927866e+00 
 2.99280000e-07  5.55879076e-01  1.77654907e-01  4.85166709e+00 
 3.00280000e-07  5.58267270e-01  1.78259623e-01  4.85405558e+00 
 3.01280000e-07  5.60655513e-01  1.78864271e-01  4.85644412e+00 
 3.02280000e-07  5.63043800e-01  1.79468848e-01  4.85883270e+00 
 3.03280000e-07  5.65432124e-01  1.80073355e-01  4.86122132e+00 
 3.04280000e-07  5.67820481e-01  1.80677790e-01  4.86360997e+00 
 3.05280000e-07  5.70208864e-01  1.81282151e-01  4.86599865e+00 
 3.06280000e-07  5.72597268e-01  1.81886437e-01  4.86838735e+00 
 3.07280000e-07  5.74985688e-01  1.82490647e-01  4.87077607e+00 
 3.08280000e-07  5.77374116e-01  1.83094780e-01  4.87316479e+00 
 3.09280000e-07  5.79762549e-01  1.83698834e-01  4.87555352e+00 
 3.10280000e-07  5.82150979e-01  1.84302810e-01  4.87794225e+00 
 3.11280000e-07  5.84539402e-01  1.84906705e-01  4.88033097e+00 
 3.12280000e-07  5.86927812e-01  1.85510518e-01  4.88271968e+00 
 3.13280000e-07  5.89316203e-01  1.86114249e-01  4.88510836e+00 
 3.14280000e-07  5.91704568e-01  1.86717897e-01  4.88749703e+00 
